freq,unit,age,sex,geo,value,year
A,YR,Y_LT1,F,BE31,84.7,2022
A,YR,Y_LT1,F,BE31,85.5,2023
A,YR,Y_LT1,F,BE32,81.8,2012
A,YR,Y_LT1,F,BE32,81.4,2013
A,YR,Y_LT1,F,BE32,81.9,2014
A,YR,Y_LT1,F,BE32,81.4,2015
A,YR,Y_LT1,F,BE32,81.9,2016
A,YR,Y_LT1,F,BE32,82.3,2017
A,YR,Y_LT1,F,BE32,82,2018
A,YR,Y_LT1,F,BE32,82.6,2019
A,YR,Y_LT1,F,BE32,80.8,2020
A,YR,Y_LT1,F,BE32,81.8,2021
A,YR,Y_LT1,F,BE32,81.8,2022
A,YR,Y_LT1,F,BE32,82.4,2023
A,YR,Y_LT1,F,BE33,81.9,2012
A,YR,Y_LT1,F,BE33,81.8,2013
A,YR,Y_LT1,F,BE33,82.4,2014
A,YR,Y_LT1,F,BE33,81.7,2015
A,YR,Y_LT1,F,BE33,82.4,2016
A,YR,Y_LT1,F,BE33,82.4,2017
A,YR,Y_LT1,F,BE33,82.3,2018
A,YR,Y_LT1,F,BE33,82.5,2019
A,YR,Y_LT1,F,BE33,81,2020
A,YR,Y_LT1,F,BE33,82.6,2021
A,YR,Y_LT1,F,BE33,82,2022
A,YR,Y_LT1,F,BE33,82.8,2023
A,YR,Y_LT1,F,BE34,82.1,2012
A,YR,Y_LT1,F,BE34,82.3,2013
A,YR,Y_LT1,F,BE34,83.7,2014
A,YR,Y_LT1,F,BE34,82.2,2015
A,YR,Y_LT1,F,BE34,83.1,2016
A,YR,Y_LT1,F,BE34,83.2,2017
A,YR,Y_LT1,F,BE34,83,2018
A,YR,Y_LT1,F,BE34,83.8,2019
A,YR,Y_LT1,F,BE34,82.3,2020
A,YR,Y_LT1,F,BE34,83.2,2021
A,YR,Y_LT1,F,BE34,82.6,2022
A,YR,Y_LT1,F,BE34,83.1,2023
A,YR,Y_LT1,F,BE35,82,2012
A,YR,Y_LT1,F,BE35,81.6,2013
A,YR,Y_LT1,F,BE35,82.1,2014
A,YR,Y_LT1,F,BE35,82.1,2015
A,YR,Y_LT1,F,BE35,82.4,2016
A,YR,Y_LT1,F,BE35,82.4,2017
A,YR,Y_LT1,F,BE35,83,2018
A,YR,Y_LT1,F,BE35,82.7,2019
A,YR,Y_LT1,F,BE35,81.9,2020
A,YR,Y_LT1,F,BE35,82.8,2021
A,YR,Y_LT1,F,BE35,82.7,2022
