nuts2_id,year,pop
CH02,2010,3483846
CH02,2011,3511392
CH02,2012,3540858
CH02,2013,3577582
CH02,2014,3616960
CH02,2015,3652502
CH02,2016,3684502
CH02,2017,3719114
CH02,2018,3737772
CH02,2019,3754308
CH02,2020,3773168
CH02,2021,3791386
CH02,2022,3814982
CH02,2023,3837492
CH03,1995,1942854
CH03,1996,1953954
CH03,1997,1960978
CH03,1998,1964772
CH03,1999,1967456
CH03,2000,1975398
CH03,2001,1984018
CH03,2002,1995700
CH03,2003,2010900
CH03,2004,2023458
CH03,2005,2034360
CH03,2006,2042068
CH03,2007,2053602
CH03,2008,2071868
CH03,2009,2099036
CH03,2010,2121506
CH03,2011,2141640
CH03,2012,2159826
CH03,2013,2182604
CH03,2014,2208706
CH03,2015,2234316
CH03,2016,2257446
CH03,2017,2284312
CH03,2018,2303838
CH03,2019,2322210
CH03,2020,2342314
CH03,2021,2363552
CH03,2022,2383878
CH03,2023,2404870
CH04,1995,2337134
CH04,1996,2350914
CH04,1997,2357696
CH04,1998,2363228
CH04,1999,2375218
CH04,2000,2397138
CH04,2001,2423294
CH04,2002,2453862
CH04,2003,2482624
CH04,2004,2499786
CH04,2005,2523620
CH04,2006,2545180
CH04,2007,2568104
CH04,2008,2615134
CH04,2009,2665454
CH04,2010,2702594
CH04,2011,2746136
CH04,2012,2784792
CH04,2013,2817150
CH04,2014,2851076
CH04,2015,2892708
CH04,2016,2932848
CH04,2017,2975938
CH04,2018,3008692
CH04,2019,3041936
CH04,2020,3078550
CH04,2021,3106846
CH04,2022,3129324
CH04,2023,3159934
CH05,1995,2054970
CH05,1996,2066168
CH05,1997,2073250
CH05,1998,2072362
CH05,1999,2077200
CH05,2000,2083726
CH05,2001,2087672
CH05,2002,2091790
CH05,2003,2102328
CH05,2004,2113048
CH05,2005,2119172
CH05,2006,2123704
CH05,2007,2130506
CH05,2008,2147808
CH05,2009,2171396
CH05,2010,2188404
CH05,2011,2207282
CH05,2012,2227858
CH05,2013,2247344
CH05,2014,2269562
CH05,2015,2289144
CH05,2016,2306970
CH05,2017,2325368
CH05,2018,2338716
CH05,2019,2352642
CH05,2020,2367626
CH05,2021,2386138
CH05,2022,2407430
CH05,2023,2434030
CH06,1995,1303606
CH06,1996,1317978
CH06,1997,1326858
CH06,1998,1335990
CH06,1999,1342342
CH06,2000,1353464
CH06,2001,1364978
CH06,2002,1376724
CH06,2003,1388858
CH06,2004,1398100
CH06,2005,1407412
CH06,2006,1417122
CH06,2007,1427656
CH06,2008,1445826
CH06,2009,1466346
CH06,2010,1479402
CH06,2011,1498952
CH06,2012,1515104
CH06,2013,1531758
CH06,2014,1548246
CH06,2015,1564748
CH06,2016,1580916
CH06,2017,1598574
CH06,2018,1612142
CH06,2019,1626112
CH06,2020,1637924
CH06,2021,1651490
CH06,2022,1666356
CH06,2023,1682744
CH07,1995,604262
CH07,1996,610398
CH07,1997,609660
CH07,1998,611176
CH07,1999,612358
CH07,2000,616996
CH07,2001,620430
CH07,2002,625056
CH07,2003,630512
CH07,2004,634630
CH07,2005,639862
CH07,2006,644552
CH07,2007,649702
CH07,2008,657160
CH07,2009,665472
CH07,2010,671440
CH07,2011,667506
CH07,2012,673886
CH07,2013,683304
CH07,2014,693078
CH07,2015,700726
CH07,2016,703892
CH07,2017,708750
CH07,2018,707418
CH07,2019,706686
CH07,2020,702982
CH07,2021,701972
CH07,2022,704362
CH07,2023,708046
CY00,1995,1290798
CY00,1996,1312666
CY00,1997,1332626
CY00,1998,1350430
CY00,1999,1365724
CY00,2000,1380994
CY00,2001,1395098
CY00,2002,1411078
CY00,2003,1427440
CY00,2004,1445786
CY00,2005,1466134
CY00,2006,1488026
CY00,2007,1515832
CY00,2008,1552666
CY00,2009,1593860
CY00,2010,1638280
CY00,2011,1679502
CY00,2012,1724022
CY00,2013,1725708
CY00,2014,1720064
CY00,2015,1721692
CY00,2016,1727528
CY00,2017,1739756
CY00,2018,1757202
CY00,2019,1780388
CY00,2020,1804858
CY00,2021,1828952
CY00,2022,1859528
CY00,2023,1898168
CZ01,2000,2373710
CZ01,2001,2340952
CZ01,2002,2315752
CZ01,2003,2314886
CZ01,2004,2317476
CZ01,2005,2322668
CZ01,2006,2339784
CZ01,2007,2347866
CZ01,2008,2391042
CZ01,2009,2428600
CZ01,2010,2455864
CZ01,2011,2468074
CZ01,2012,2483328
CZ01,2013,2493560
CZ01,2014,2486402
CZ01,2015,2518158
CZ01,2016,2534898
CZ01,2017,2561016
CZ01,2018,2589026
CZ01,2019,2617264
CZ01,2020,2648554
CZ01,2021,2518826
CZ01,2022,2550812
CZ01,2023,2714652
CZ02,2000,2222708
CZ02,2001,2243182
CZ02,2002,2247790
CZ02,2003,2257206
CZ02,2004,2271380
CZ02,2005,2287850
CZ02,2006,2315762
CZ02,2007,2349928
CZ02,2008,2403048
CZ02,2009,2460810
CZ02,2010,2494660
CZ02,2011,2529972
CZ02,2012,2558690
CZ02,2013,2583632
CZ02,2014,2604672
CZ02,2015,2630598
CZ02,2016,2653752
CZ02,2017,2677964
CZ02,2018,2705590
CZ02,2019,2738664
CZ02,2020,2770282
CZ02,2021,2745176
CZ02,2022,2773648
CZ02,2023,2878782
CZ03,2000,2355964
CZ03,2001,2352194
CZ03,2002,2347430
CZ03,2003,2347074
CZ03,2004,2348514
CZ03,2005,2346914
CZ03,2006,2353862
CZ03,2007,2363438
CZ03,2008,2382312
CZ03,2009,2404954
CZ03,2010,2411668
CZ03,2011,2414054
CZ03,2012,2415694
CZ03,2013,2418596
CZ03,2014,2420352
CZ03,2015,2424846
CZ03,2016,2428900
CZ03,2017,2434822
CZ03,2018,2442024
CZ03,2019,2453610
CZ03,2020,2467964
CZ03,2021,2425560
CZ03,2022,2431508
CZ03,2023,2515382
CZ04,2000,2263948
CZ04,2001,2249626
CZ04,2002,2244178
CZ04,2003,2243468
CZ04,2004,2243512
CZ04,2005,2244284
CZ04,2006,2243180
CZ04,2007,2241510
CZ04,2008,2260670
CZ04,2009,2269774
CZ04,2010,2266850
CZ04,2011,2264504
CZ04,2012,2262382
CZ04,2013,2256980
CZ04,2014,2250858
CZ04,2015,2246530
CZ04,2016,2241308
CZ04,2017,2236252
CZ04,2018,2233532
CZ04,2019,2231370
CZ04,2020,2231258
CZ04,2021,2173212
CZ04,2022,2164216
CZ04,2023,2211864
CZ05,2000,2978814
CZ05,2001,2974800
CZ05,2002,2966966
CZ05,2003,2962866
CZ05,2004,2958936
CZ05,2005,2956756
CZ05,2006,2962430
CZ05,2007,2971150
CZ05,2008,2989262
CZ05,2009,3007730
CZ05,2010,3012934
CZ05,2011,3017470
CZ05,2012,3017734
CZ05,2013,3015960
CZ05,2014,3013006
CZ05,2015,3013626
CZ05,2016,3014418
CZ05,2017,3017054
CZ05,2018,3021452
CZ05,2019,3027386
CZ05,2020,3035998
CZ05,2021,2992280
CZ05,2022,2989342
CZ05,2023,3066410
CZ06,2000,3317522
CZ06,2001,3294556
CZ06,2002,3286404
CZ06,2003,3280450
CZ06,2004,3282594
CZ06,2005,3284040
CZ06,2006,3286516
CZ06,2007,3293796
CZ06,2008,3315186
CZ06,2009,3333556
CZ06,2010,3343986
CZ06,2011,3351744
CZ06,2012,3356500
CZ06,2013,3359714
CZ06,2014,3360574
CZ06,2015,3365496
CZ06,2016,3369000
CZ06,2017,3375528
CZ06,2018,3384246
CZ06,2019,3393882
CZ06,2020,3403604
CZ06,2021,3370440
CZ06,2022,3377186
CZ06,2023,3463954
CZ07,2000,2480710
CZ07,2001,2478178
CZ07,2002,2472776
CZ07,2003,2466752
CZ07,2004,2462376
CZ07,2005,2456638
CZ07,2006,2454090
CZ07,2007,2454160
CZ07,2008,2459236
CZ07,2009,2460874
CZ07,2010,2459862
CZ07,2011,2458234
CZ07,2012,2455336
CZ07,2013,2450604
CZ07,2014,2445310
CZ07,2015,2441944
CZ07,2016,2438788
CZ07,2017,2435246
CZ07,2018,2432468
CZ07,2019,2430826
CZ07,2020,2429140
CZ07,2021,2397298
CZ07,2022,2390724
CZ07,2023,2424666
CZ08,2000,2562820
CZ08,2001,2530566
CZ08,2002,2521068
CZ08,2003,2512596
CZ08,2004,2505906
CZ08,2005,2498560
CZ08,2006,2491530
CZ08,2007,2486618
CZ08,2008,2486088
CZ08,2009,2485268
CZ08,2010,2478352
CZ08,2011,2469410
CZ08,2012,2461226
CZ08,2013,2453204
CZ08,2014,2443664
CZ08,2015,2435352
CZ08,2016,2426622
CZ08,2017,2419758
CZ08,2018,2411772
CZ08,2019,2406598
CZ08,2020,2401078
CZ08,2021,2366880
CZ08,2022,2355978
CZ08,2023,2379348
DE11,2000,7834610
DE11,2001,7870704
DE11,2002,7928324
DE11,2003,7970000
DE11,2004,7989224
DE11,2005,8006344
DE11,2006,8014746
DE11,2007,8010760
DE11,2008,8014190
DE11,2009,8012626
DE11,2010,8001696
DE11,2011,7821274
DE11,2012,7849844
DE11,2013,7895136
DE11,2014,7945762
DE11,2015,8016576
DE11,2016,8139066
DE11,2017,8196556
DE11,2018,8253376
DE11,2019,8286836
DE11,2020,8308446
DE11,2021,8302188
DE11,2022,8301898
DE11,2023,8285476
DE12,2000,5352514
DE12,2001,5368850
DE12,2002,5402752
DE12,2003,5433364
DE12,2004,5445100
DE12,2005,5455466
DE12,2006,5464910
DE12,2007,5468520
DE12,2008,5478548
DE12,2009,5480328
DE12,2010,5481006
DE12,2011,5327176
DE12,2012,5343048
DE12,2013,5373146
DE12,2014,5405662
DE12,2015,5442532
DE12,2016,5523954
DE12,2017,5558628
DE12,2018,5591566
DE12,2019,5610258
DE12,2020,5621708
DE12,2021,5615202
DE12,2022,5624964
DE12,2023,5664242
DE13,2000,4250728
DE13,2001,4275250
DE13,2002,4313702
DE13,2003,4340962
DE13,2004,4357626
DE13,2005,4370054
DE13,2006,4381454
DE13,2007,4386356
DE13,2008,4392820
DE13,2009,4391362
DE13,2010,4392036
DE13,2011,4285446
DE13,2012,4301812
DE13,2013,4324680
DE13,2014,4349000
DE13,2015,4383244
DE13,2016,4449070
DE13,2017,4479468
DE13,2018,4509348
DE13,2019,4528938
DE13,2020,4542702
DE13,2021,4553848
DE13,2022,4570312
DE13,2023,4609948
DE14,2000,3514012
DE14,2001,3534026
DE14,2002,3557034
DE14,2003,3578314
DE14,2004,3593162
DE14,2005,3602974
DE14,2006,3610292
DE14,2007,3611870
DE14,2008,3613952
DE14,2009,3614696
DE14,2010,3615104
DE14,2011,3523114
DE14,2012,3530178
DE14,2013,3545260
DE14,2014,3562132
DE14,2015,3590936
DE14,2016,3647146
