src,dst
ITI4,ITF2
ITI4,ITF3
LI00,AT34
LI00,CH05
LT01,LT02
TR81,TR82
TR81,TR42
TR82,TR81
TR82,TR71
TR82,TR83
TR82,TR42
TR82,TR51
DE93,DEE0
DE93,DEF0
DE93,DE40
DE93,DE50
DE93,DE60
DE93,DE80
DE93,DE91
DE93,DE92
DE93,DE94
DE94,DE50
DE94,DE92
DE94,DE93
DE94,DEA3
DE94,DEA4
DE94,NL11
DE94,NL13
DE94,NL21
DEA1,DEA2
DEA1,DEA3
DEA1,DEA5
DEA1,NL22
DEA1,NL42
DEA2,BE33
DEA2,DEA1
DEA2,DEA5
DEA2,DEB1
DEA2,DEB2
DEA2,NL42
DEA3,DE94
DEA3,DEA1
DEA3,DEA4
DEA3,DEA5
DEA3,NL21
DEA3,NL22
DEA4,DE73
DEA4,DE91
DEA4,DE92
DEA4,DE94
DEA4,DEA3
DEA4,DEA5
DEA5,DE72
DEA5,DE73
DEA5,DEA1
DEA5,DEA2
DEA5,DEA3
DEA5,DEA4
DEA5,DEB1
DEB1,DEC0
DEB1,DE71
DEB1,DE72
DEB1,DEA2
DEB1,DEA5
DEB1,DEB2
DEB1,DEB3
DEB2,DEC0
DEB2,BE33
DEB2,DEA2
DEB2,DEB1
DEB2,LU00
DEB3,DE12
DEB3,DEC0
DEB3,DE71
DEB3,DEB1
DEB3,FRF1
DEB3,FRF3
LT02,LT01
LT02,LV00
LT02,PL62
LT02,PL84
LU00,DEC0
LU00,BE33
LU00,BE34
LU00,DEB2
LU00,FRF3
LV00,EE00
LV00,LT02
ME00,AL01
ME00,HR03
ME00,RS21
MK00,AL01
MK00,AL02
MK00,AL03
MK00,BG41
MK00,EL52
MK00,EL53
MK00,RS22
NL11,DE94
NL11,NL12
NL11,NL13
EL51,BG41
EL51,BG42
EL51,EL52
EL51,TR21
EL52,BG41
EL52,MK00
EL52,EL51
EL52,EL53
EL52,EL61
EL53,AL03
EL53,MK00
EL53,EL52
EL53,EL54
EL53,EL61
EL54,AL03
EL54,EL53
EL54,EL61
EL54,EL63
DK02,DK01
FRH0,FRD1
FRH0,FRG0
FRI1,FRI2
FRI1,FRI3
FRI1,FRJ2
FRI1,ES21
FRI1,ES22
FRI1,ES24
FRI2,FRI1
FRI2,FRI3
FRI2,FRJ2
FRI2,FRK1
FRI2,FRB0
FRI3,FRI1
FRI3,FRI2
FRI3,FRB0
FRI3,FRG0
FRJ1,FRJ2
FRJ1,FRK1
FRJ1,FRK2
FRJ1,FRL0
FRJ1,ES51
FRJ2,FRI1
FRJ2,FRI2
FRJ2,FRJ1
FRJ2,FRK1
FRJ2,ES24
FRJ2,ES51
FRK1,FRI2
FRK1,FRJ1
FRK1,FRJ2
FRK1,FRK2
FRK1,FRB0
FRK1,FRC1
FRK2,CH01
FRK2,FRJ1
FRK2,FRK1
FRK2,FRL0
FRK2,ITC1
FRK2,ITC2
FRK2,FRC1
FRK2,FRC2
FRL0,FRJ1
FRL0,FRK2
FRL0,ITC1
FRL0,ITC3
HR03,ME00
HR03,HR04
HR03,SI03
HR03,SI04
HR04,HR03
HR04,HU22
HR04,HU23
HR04,HU33
HR04,RS12
HR04,SI03
HU11,HU12
HU12,HU11
HU12,HU21
HU12,HU31
HU12,HU32
HU12,HU33
HU12,SK02
HU21,HU12
HU21,HU22
HU21,HU23
HU21,HU33
HU21,SK02
HU22,AT11
HU22,HR04
HU22,HU21
HU22,HU23
HU22,SI03
HU22,SK01
HU22,SK02
HU23,HR04
HU23,HU21
HU23,HU22
HU23,HU33
HU31,HU12
HU31,HU32
HU31,SK02
HU31,SK03
HU31,SK04
HU32,HU12
HU32,HU31
HU32,HU33
HU32,RO11
HU32,SK04
HU33,HR04
HU33,HU12
HU33,HU21
HU33,HU23
HU33,HU32
HU33,RO11
HU33,RO42
HU33,RS12
IE04,IE05
IE04,IE06
IE04,UKN0
IE05,IE04
IE05,IE06
IE06,IE04
IE06,IE05
IE06,UKN0
ITC1,CH01
ITC1,CH07
ITC1,ITH5
ITC1,FRK2
ITC1,FRL0
ITC1,ITC2
ITC1,ITC3
ITC1,ITC4
ITC2,CH01
ITC2,FRK2
ITC2,ITC1
ITC3,ITH5
ITC3,ITI1
ITC3,FRL0
ITC3,ITC1
ITC4,CH05
ITC4,CH07
ITC4,ITH1
ITC4,ITH2
ITC4,ITH3
ITC4,ITH5
ITC4,ITC1
ITF1,ITI3
ITF1,ITI4
ITF1,ITF2
ITF2,ITI4
ITF2,ITF1
ITF2,ITF3
ITF2,ITF4
ITF3,ITI4
ITF3,ITF2
ITF3,ITF4
ITF3,ITF5
ITF4,ITF2
ITF4,ITF3
ITF4,ITF5
ITF5,ITF3
ITF5,ITF4
ITF5,ITF6
ITF6,ITF5
TR52,TR61
TR52,TR62
TR52,TR71
TR52,TR33
TR52,TR41
TR52,TR51
TR61,TR52
TR61,TR62
TR61,TR32
TR61,TR33
TR62,TR52
TR62,TR61
TR62,TR63
TR62,TR71
TR62,TR72
TR63,TR62
TR63,TR72
TR63,TRB1
TR63,TRC1
TR71,TR82
TR71,TR52
TR71,TR62
TR71,TR72
TR71,TR83
TR71,TR51
TR72,TR62
TR72,TR63
TR72,TR71
TR72,TR83
TR72,TR90
TR72,TRA1
TR72,TRB1
TR83,TR82
TR83,TR71
TR83,TR72
TR83,TR90
TR90,TR72
TR90,TR83
TR90,TRA1
TR90,TRA2
TRA1,TR72
TRA1,TR90
TRA1,TRA2
TRA1,TRB1
TRA1,TRB2
TRA2,TR90
TRA2,TRA1
TRA2,TRB2
TRB1,TR63
TRB1,TR72
TRB1,TRA1
TRB1,TRB2
TRB1,TRC1
TRB1,TRC2
TRB2,TRA1
TRB2,TRA2
TRB2,TRB1
TRB2,TRC2
TRB2,TRC3
TRC1,TR63
TRC1,TRB1
TRC1,TRC2
TRC2,TRB1
TRC2,TRB2
TRC2,TRC1
TRC2,TRC3
UKI7,UKJ1
UKI7,UKJ2
UKI7,UKH2
UKI7,UKI3
UKI7,UKI4
UKI7,UKI5
UKI7,UKI6
UKJ1,UKI7
UKJ1,UKJ2
UKJ1,UKJ3
UKJ1,UKK1
UKJ1,UKF2
UKJ1,UKG1
UKJ1,UKH2
UKJ2,UKI7
UKJ2,UKJ1
UKJ2,UKJ3
UKJ2,UKJ4
UKJ2,UKI6
UKJ3,UKJ1
UKJ3,UKJ2
UKJ3,UKK1
UKJ3,UKK2
UKJ4,UKJ2
UKJ4,UKI5
UKJ4,UKI6
UKK1,UKJ1
UKK1,UKJ3
UKK1,UKK2
UKK1,UKL2
UKK1,UKG1
UKK2,UKJ3
UKK2,UKK1
UKK2,UKK4
UKK3,UKK4
UKK4,UKK2
UKK4,UKK3
EL61,EL52
EL61,EL53
EL61,EL54
EL61,EL63
EL61,EL64
EL63,EL54
EL63,EL61
EL63,EL64
EL63,EL65
EL64,EL30
EL64,EL61
EL64,EL63
EL65,EL30
EL65,EL63
ES11,ES12
ES11,ES41
ES11,PT11
ES12,ES11
ES12,ES13
ES12,ES41
ES13,ES12
ES13,ES21
ES13,ES41
ES21,FRI1
ES21,ES13
ES21,ES22
ES21,ES23
ES21,ES41
ES22,FRI1
ES22,ES21
ES22,ES23
ES22,ES24
ES23,ES21
ES23,ES22
ES23,ES24
ES23,ES41
ES24,FRI1
ES24,FRJ2
ES24,ES22
ES24,ES23
ES24,ES41
ES24,ES42
ES24,ES51
ES24,ES52
ES30,ES41
ES30,ES42
ES41,ES11
ES41,ES12
ES41,ES13
ES41,ES21
ES41,ES23
ES41,ES24
ES41,ES30
ES41,ES42
ES41,ES43
ES41,PT16
ES41,PT11
ES42,ES24
ES42,ES30
ES42,ES41
ES42,ES43
ES42,ES52
ES42,ES61
ES42,ES62
ES43,ES41
ES43,ES42
ES43,ES61
ES43,PT16
ES43,PT18
ES51,FRJ1
ES51,FRJ2
ES51,ES24
ES51,ES52
ES52,ES24
ES52,ES42
ES52,ES51
ES52,ES62
ES61,ES42
ES61,ES43
ES61,ES62
ES61,PT18
ES61,PT15
ES62,ES42
ES62,ES52
ES62,ES61
FI19,FI1C
FI19,FI1D
FI1B,FI1C
FI1C,FI19
FI1C,FI1B
FI1C,FI1D
FI1D,FI19
FI1D,FI1C
FI1D,SE33
FI1D,NO07
FR10,FRB0
FR10,FRC1
FR10,FRD2
FR10,FRE2
FR10,FRF2
FRB0,FRI2
FRB0,FRI3
FRB0,FRK1
FRB0,FR10
FRB0,FRC1
FRB0,FRD1
FRB0,FRD2
FRB0,FRG0
FRC1,FRK1
FRC1,FRK2
FRC1,FR10
FRC1,FRB0
FRC1,FRC2
FRC1,FRF2
FRC2,CH01
FRC2,CH02
FRC2,FRK2
FRC2,FRC1
FRC2,FRF1
FRC2,FRF2
FRC2,FRF3
FRD1,FRH0
FRD1,FRB0
FRD1,FRD2
FRD1,FRG0
FRD2,FR10
FRD2,FRB0
FRD2,FRD1
FRD2,FRE2
FRE1,BE25
FRE1,BE32
FRE1,FRE2
FRE2,BE32
FRE2,FR10
FRE2,FRD2
FRE2,FRE1
FRE2,FRF2
FRF1,DE12
FRF1,DE13
FRF1,CH02
FRF1,CH03
FRF1,DEB3
FRF1,FRC2
FRF1,FRF3
FRF2,BE32
FRF2,BE34
FRF2,BE35
FRF2,FR10
FRF2,FRC1
FRF2,FRC2
FRF2,FRE2
FRF2,FRF3
FRF3,DEC0
FRF3,BE34
FRF3,DEB3
FRF3,LU00
FRF3,FRC2
FRF3,FRF1
FRF3,FRF2
FRG0,FRH0
FRG0,FRI3
FRG0,FRB0
FRG0,FRD1
UKL2,UKK1
UKL2,UKD6
UKL2,UKG1
UKL2,UKG2
UKL2,UKL1
UKM5,UKM6
UKM5,UKM7
UKM6,UKM5
UKM6,UKM7
UKM6,UKM8
UKM7,UKM5
UKM7,UKM6
UKM7,UKM8
UKM7,UKM9
UKM8,UKM6
UKM8,UKM7
UKM8,UKM9
UKM9,UKM7
UKM9,UKM8
UKM9,UKC2
UKM9,UKD1
TRC3,TRB2
TRC3,TRC2
UKC1,UKC2
UKC1,UKD1
UKC1,UKE2
UKC2,UKM9
UKC2,UKC1
UKC2,UKD1
UKD1,UKM9
UKD1,UKC1
UKD1,UKC2
UKD1,UKD4
UKD1,UKE2
UKD3,UKD4
UKD3,UKD6
UKD3,UKD7
UKD3,UKE4
UKD3,UKF1
UKD4,UKD1
UKD4,UKD3
UKD4,UKD7
UKD4,UKE2
UKD4,UKE4
UKD6,UKL2
UKD6,UKD3
UKD6,UKD7
UKD6,UKF1
UKD6,UKG2
UKD7,UKD3
UKD7,UKD4
UKD7,UKD6
UKE1,UKE2
UKE1,UKE3
UKE1,UKF1
UKE1,UKF3
UKE2,UKC1
UKE2,UKD1
UKE2,UKD4
UKE2,UKE1
UKE2,UKE3
UKE2,UKE4
UKE3,UKE1
UKE3,UKE2
UKE3,UKE4
UKE3,UKF1
PT16,ES41
PT16,ES43
PT16,PT17
PT16,PT18
PT16,PT11
PT17,PT16
PT17,PT18
PT18,ES43
PT18,ES61
PT18,PT16
PT18,PT17
PT18,PT15
RO11,HU32
RO11,HU33
RO11,RO12
RO11,RO21
RO11,RO42
RO12,RO11
RO12,RO21
RO12,RO22
RO12,RO31
RO12,RO41
RO12,RO42
RO21,RO11
RO21,RO12
RO21,RO22
RO22,BG32
RO22,BG33
RO22,RO12
RO22,RO21
RO22,RO31
RO31,BG31
RO31,BG32
RO31,RO12
RO31,RO22
RO31,RO32
RO31,RO41
RO32,RO31
RO41,BG31
RO41,RO12
RO41,RO31
RO41,RO42
RO41,RS22
RO42,HU33
RO42,RO11
RO42,RO12
RO42,RO41
RO42,RS12
RO42,RS22
RS11,RS12
RS11,RS21
RS11,RS22
RS12,HR04
RS12,HU33
RS12,RO42
RS12,RS11
RS12,RS21
RS12,RS22
RS21,ME00
RS21,RS11
RS21,RS12
RS21,RS22
RS22,BG31
RS22,BG41
RS22,MK00
RS22,RO41
RS22,RO42
RS22,RS11
RS22,RS12
RS22,RS21
SE11,SE12
SE12,SE11
SE12,SE21
SE12,SE23
SE12,SE31
SE21,SE12
SE21,SE22
SE21,SE23
SE22,SE21
SE22,SE23
SE23,SE12
SE23,SE21
SE23,SE22
SE23,SE31
SE23,NO03
SE31,SE12
SE31,SE23
SE31,SE32
SE31,NO01
SE31,NO02
SE31,NO03
SE32,SE31
SE32,SE33
SE32,NO02
SE32,NO06
SE32,NO07
SE33,FI1D
SE33,SE32
SE33,NO06
SE33,NO07
SI03,AT11
SI03,AT21
SI03,AT22
SI03,HR03
SI03,HR04
SI03,HU22
SI03,SI04
SI04,AT21
SI04,ITH4
SI04,HR03
SI04,SI03
SK01,AT11
SK01,AT12
SK01,HU22
SK01,SK02
SK02,CZ06
SK02,CZ07
SK02,AT12
SK02,HU12
SK02,HU21
SK02,HU22
SK02,HU31
SK02,SK01
SK02,SK03
SK03,CZ07
SK03,CZ08
SK03,HU31
SK03,SK02
SK03,SK04
SK03,PL21
SK03,PL22
SK04,HU31
SK04,HU32
SK04,SK03
SK04,PL21
SK04,PL82
TR10,TR21
TR10,TR42
TR21,BG34
TR21,BG42
TR21,EL51
TR21,TR10
TR21,TR22
TR22,TR21
TR22,TR31
TR22,TR33
TR22,TR41
TR31,TR22
TR31,TR32
TR31,TR33
TR32,TR61
TR32,TR31
TR32,TR33
TR33,TR52
TR33,TR61
TR33,TR22
TR33,TR31
TR33,TR32
TR33,TR41
TR41,TR52
TR41,TR22
TR41,TR33
TR41,TR42
TR41,TR51
TR42,TR81
TR42,TR82
TR42,TR10
TR42,TR41
TR42,TR51
TR51,TR82
TR51,TR52
TR51,TR71
TR51,TR41
TR51,TR42
UKE4,UKD3
UKE4,UKD4
UKE4,UKE2
UKE4,UKE3
UKE4,UKF1
UKF1,UKD3
UKF1,UKD6
UKF1,UKE1
UKF1,UKE3
UKF1,UKE4
UKF1,UKF2
UKF1,UKF3
UKF1,UKG2
UKF2,UKJ1
UKF2,UKF1
UKF2,UKF3
UKF2,UKG1
UKF2,UKG2
UKF2,UKH1
UKF2,UKH2
UKF3,UKE1
UKF3,UKF1
UKF3,UKF2
UKF3,UKH1
UKG1,UKJ1
UKG1,UKK1
UKG1,UKL2
UKG1,UKF2
UKG1,UKG2
UKG1,UKG3
UKG2,UKL2
UKG2,UKD6
UKG2,UKF1
UKG2,UKF2
UKG2,UKG1
UKG2,UKG3
UKG3,UKG1
UKG3,UKG2
UKH1,UKF2
UKH1,UKF3
UKH1,UKH2
UKH1,UKH3
UKH2,UKI7
UKH2,UKJ1
UKH2,UKF2
UKH2,UKH1
UKH2,UKH3
UKH2,UKI5
UKH3,UKH1
UKH3,UKH2
UKH3,UKI5
UKI3,UKI7
UKI3,UKI4
UKI3,UKI6
UKI4,UKI7
UKI4,UKI3
UKI4,UKI5
UKI4,UKI6
UKI5,UKI7
UKI5,UKJ4
UKI5,UKH2
UKI5,UKH3
UKI5,UKI4
UKI5,UKI6
UKI6,UKI7
UKI6,UKJ2
UKI6,UKJ4
UKI6,UKI3
UKI6,UKI4
UKI6,UKI5
NL12,NL11
NL12,NL13
NL12,NL21
NL12,NL23
NL12,NL32
NL13,DE94
NL13,NL11
NL13,NL12
NL13,NL21
NL21,DE94
NL21,DEA3
NL21,NL12
NL21,NL13
NL21,NL22
NL21,NL23
NL22,DEA1
NL22,DEA3
NL22,NL21
NL22,NL23
NL22,NL31
NL22,NL33
NL22,NL41
NL22,NL42
NL23,NL12
NL23,NL21
NL23,NL22
NL23,NL31
NL23,NL32
NL31,NL22
NL31,NL23
NL31,NL32
NL31,NL33
NL32,NL12
NL32,NL23
NL32,NL31
NL32,NL33
NL33,NL22
NL33,NL31
NL33,NL32
NL33,NL34
NL33,NL41
NL34,BE21
NL34,BE23
NL34,BE25
NL34,NL33
NL34,NL41
NL41,BE21
NL41,BE22
NL41,NL22
NL41,NL33
NL41,NL34
NL41,NL42
NL42,BE22
NL42,BE33
NL42,DEA1
NL42,DEA2
NL42,NL22
NL42,NL41
NO01,SE31
NO01,NO02
NO01,NO03
NO02,SE31
NO02,SE32
NO02,NO01
NO02,NO03
NO02,NO05
NO02,NO06
NO03,SE23
NO03,SE31
NO03,NO01
NO03,NO02
NO03,NO04
NO03,NO05
NO04,NO03
NO04,NO05
NO05,NO02
NO05,NO03
NO05,NO04
NO05,NO06
NO06,SE32
NO06,SE33
NO06,NO02
NO06,NO05
NO06,NO07
PL21,SK03
PL21,SK04
PL21,PL22
PL21,PL72
PL21,PL82
PL22,CZ08
PL22,SK03
PL22,PL21
PL22,PL52
PL22,PL71
PL22,PL72
PL41,PL42
PL41,PL43
PL41,PL51
PL41,PL52
PL41,PL61
PL41,PL63
PL41,PL71
PL42,DE40
PL42,DE80
PL42,PL41
PL42,PL43
PL42,PL63
PL43,DED2
PL43,DE40
PL43,PL41
PL43,PL42
PL43,PL51
PL51,CZ05
PL51,CZ07
PL51,DED2
PL51,PL41
PL51,PL43
PL51,PL52
PL52,CZ07
PL52,CZ08
PL52,PL22
PL52,PL41
PL52,PL51
PL52,PL71
PL61,PL41
PL61,PL62
PL61,PL63
PL61,PL71
PL61,PL92
PL62,LT02
PL62,PL61
PL62,PL63
PL62,PL84
PL62,PL92
NO07,FI1D
NO07,SE32
NO07,SE33
NO07,NO06
PL63,PL41
PL63,PL42
PL63,PL61
PL63,PL62
PL71,PL22
PL71,PL41
PL71,PL52
PL71,PL61
PL71,PL72
PL71,PL92
PL72,PL21
PL72,PL22
PL72,PL71
PL72,PL81
PL72,PL82
PL72,PL92
PL81,PL72
PL81,PL82
PL81,PL84
PL81,PL92
PL82,SK04
PL82,PL21
PL82,PL72
PL82,PL81
PL84,LT02
PL84,PL62
PL84,PL81
PL84,PL92
PL91,PL92
PL92,PL61
PL92,PL62
PL92,PL71
PL92,PL72
PL92,PL81
PL92,PL84
PL92,PL91
PT11,ES11
PT11,ES41
PT11,PT16
PT15,ES61
PT15,PT18
UKN0,IE04
UKN0,IE06
UKL1,UKL2
