nuts2_id,year,sex,pop
FRY3,1996,F,71157
FRY3,1997,F,73485
FRY3,1998,F,75910
FRY3,1999,F,78443
FRY3,2000,F,81393
FRY3,2001,F,84542
FRY3,2002,F,88372
FRY3,2003,F,92273
FRY3,2004,F,96300
FRY3,2005,F,99223
FRY3,2006,F,102032
FRY3,2007,F,105546
FRY3,2008,F,108673
FRY3,2009,F,111201
FRY3,2010,F,113607
FRY3,2011,F,117732
FRY3,2012,F,119538
FRY3,2013,F,122352
FRY3,2014,F,125189
FRY3,2015,F,128882
FRY3,2016,F,133659
FRY3,2017,F,132016
FRY3,2018,F,134715
FRY3,2019,F,137260
FRY3,2020,F,138466
FRY3,2021,F,139465
FRY3,2022,F,140225
FRY3,2023,F,140754
FRY4,1995,F,323181
FRY4,1996,F,328958
FRY4,1997,F,334470
FRY4,1998,F,340436
FRY4,1999,F,346171
FRY4,2000,F,351555
FRY4,2001,F,357171
FRY4,2002,F,361981
FRY4,2003,F,366374
FRY4,2004,F,371055
FRY4,2005,F,376009
FRY4,2006,F,379210
FRY4,2007,F,385335
FRY4,2008,F,392041
FRY4,2009,F,395688
FRY4,2010,F,397953
FRY4,2011,F,401139
FRY4,2012,F,403504
FRY4,2013,F,406029
FRY4,2014,F,407307
FRY4,2015,F,410762
FRY4,2016,F,410558
FRY4,2017,F,408957
FRY4,2018,F,409372
FRY4,2019,F,411393
FRY4,2020,F,412017
FRY4,2021,F,415138
FRY4,2022,F,419928
FRY4,2023,F,422089
FRY5,2014,F,108533
FRY5,2015,F,110666
FRY5,2016,F,114859
FRY5,2017,F,119219
FRY5,2018,F,123736
FRY5,2019,F,128482
FRY5,2020,F,133304
FRY5,2021,F,137757
FRY5,2022,F,142811
FRY5,2023,F,147845
HR02,2013,F,583847
HR02,2014,F,576617
HR02,2015,F,567508
HR02,2016,F,556066
HR02,2017,F,542930
HR02,2018,F,525993
HR02,2019,F,514749
HR02,2020,F,505711
HR02,2021,F,498695
HR02,2022,F,491619
HR02,2023,F,485801
HR03,2001,F,661500
HR03,2002,F,665842
HR03,2003,F,669265
HR03,2004,F,672300
HR03,2005,F,677000
HR03,2006,F,680599
HR03,2007,F,684839
HR03,2008,F,687854
HR03,2009,F,689361
HR03,2010,F,690178
HR03,2011,F,688509
HR03,2012,F,686914
HR03,2013,F,681765
HR03,2014,F,676487
HR03,2015,F,670178
HR03,2016,F,662209
HR03,2017,F,654543
HR03,2018,F,646447
HR03,2019,F,641756
HR03,2020,F,640237
HR03,2021,F,633716
HR03,2022,F,629177
HR03,2023,F,631034
HR04,2001,F,1402597
HR04,2002,F,1403185
HR04,2003,F,1399120
HR04,2004,F,1396541
HR04,2005,F,1395281
HR04,2006,F,1393334
HR04,2007,F,1391342
HR04,2008,F,1389134
HR04,2009,F,1387406
HR04,2010,F,1384473
HR04,2011,F,1380243
HR04,2012,F,1375395
HR04,2013,F,1370806
HR04,2014,F,1365014
HR04,2015,F,1356532
HR04,2016,F,1343922
HR04,2017,F,1329298
HR04,2018,F,1309670
HR04,2019,F,1300639
HR04,2020,F,1296520
HR05,2013,F,368719
HR05,2014,F,367579
HR05,2015,F,366681
HR05,2016,F,364834
HR05,2017,F,363321
HR05,2018,F,361030
HR05,2019,F,361103
HR05,2020,F,361027
HR05,2021,F,358784
HR05,2022,F,359061
HR05,2023,F,361555
HR06,2013,F,413167
HR06,2014,F,410303
HR06,2015,F,406389
HR06,2016,F,401582
HR06,2017,F,395890
HR06,2018,F,389910
HR06,2019,F,386195
HR06,2020,F,385008
HR06,2021,F,382828
HR06,2022,F,382436
HR06,2023,F,383476
HU11,2001,F,803889
HU11,2002,F,794669
HU11,2003,F,784610
HU11,2004,F,776834
HU11,2005,F,773120
HU11,2006,F,774581
HU11,2007,F,773384
HU11,2008,F,776470
HU11,2009,F,781124
HU11,2010,F,786352
HU11,2011,F,792788
HU11,2012,F,797738
HU11,2013,F,799282
HU11,2014,F,801738
HU11,2015,F,806199
HU11,2016,F,805733
HU11,2017,F,801943
HU11,2018,F,801218
HU11,2019,F,803939
HU11,2020,F,802837
HU11,2021,F,790343
HU11,2022,F,782132
HU11,2023,F,782385
HU12,2001,F,515452
HU12,2002,F,523895
HU12,2003,F,531208
HU12,2004,F,540393
HU12,2005,F,549604
HU12,2006,F,556636
HU12,2007,F,565792
HU12,2008,F,575037
HU12,2009,F,584011
HU12,2010,F,593107
HU12,2011,F,596976
HU12,2012,F,585015
HU12,2013,F,587429
HU12,2014,F,588452
HU12,2015,F,590680
HU12,2016,F,595237
HU12,2017,F,601420
HU12,2018,F,609010
HU12,2019,F,617685
HU12,2020,F,627103
HU12,2021,F,632872
HU12,2022,F,640759
HU12,2023,F,647178
HU21,2000,F,542670
HU21,2001,F,543250
HU21,2002,F,543098
HU21,2003,F,539187
HU21,2004,F,538324
HU21,2005,F,537012
HU21,2006,F,535728
HU21,2007,F,535789
HU21,2008,F,534755
HU21,2009,F,533948
HU21,2010,F,531643
HU21,2011,F,529248
HU21,2012,F,520616
HU21,2013,F,519299
HU21,2014,F,517375
HU21,2015,F,515464
HU21,2016,F,515373
HU21,2017,F,513649
HU21,2018,F,514169
HU21,2019,F,516605
HU21,2020,F,518990
HU21,2021,F,518166
HU21,2022,F,516252
HU21,2023,F,516182
HU22,2000,F,484916
HU22,2001,F,484099
HU22,2002,F,483122
HU22,2003,F,483513
HU22,2004,F,482506
HU22,2005,F,480957
HU22,2006,F,481026
HU22,2007,F,480351
HU22,2008,F,479539
HU22,2009,F,479730
HU22,2010,F,478685
HU22,2011,F,477876
HU22,2012,F,473261
HU22,2013,F,473033
HU22,2014,F,471793
HU22,2015,F,470889
HU22,2016,F,470692
HU22,2017,F,469825
HU22,2018,F,470501
HU22,2019,F,472326
HU22,2020,F,474885
HU22,2021,F,475800
HU22,2022,F,475669
HU22,2023,F,476967
HU23,2000,F,477108
HU23,2001,F,475928
HU23,2002,F,473763
HU23,2003,F,471530
HU23,2004,F,468680
HU23,2005,F,465391
HU23,2006,F,461964
HU23,2007,F,460643
HU23,2008,F,456921
HU23,2009,F,453516
HU23,2010,F,451331
HU23,2011,F,447771
HU23,2012,F,442409
HU23,2013,F,440137
HU23,2014,F,437035
